"Sector","Categoría","Subcategoría",Año,"Tipo de GEI","GEI",Gg Gas,"Gg CO2 - eq (GWP)","Gg CO2 - eq (GTP)","Notation Key"
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1998,"Indirecto","CO",53,1605,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1998,"Indirecto","COVDM",8,3005,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.4 - Otros Sectores (Comercial/Institucional, Residencial, Agricola/Silvicultura/Pesca)",1998,"Indirecto","SO2",10,5217,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",1998,"Indirecto","NOx",0,0064,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",1998,"Indirecto","CO",0,0072,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",1998,"Indirecto","COVDM",0,0001,"N/A","N/A",
"1 - Energía","1.A - Actividades de quema de combustibles","1.A.5 - No especificado",1998,"Indirecto","SO2",0,0109,"N/A","N/A",
"1 - Energía","1.B - Emisiones fugitivas de los combustibles","1.B.2 - Petróleo y Gas Natural",1998,"Indirecto","NOx",0,4331,"N/A","N/A",
"1 - Energía","1.B - Emisiones fugitivas de los combustibles","1.B.2 - Petróleo y Gas Natural",1998,"Indirecto","CO",0,1624,"N/A","N/A",
"1 - Energía","1.B - Emisiones fugitivas de los combustibles","1.B.2 - Petróleo y Gas Natural",1998,"Indirecto","COVDM",0,722,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.A - Industria Mineral","2.A.3 - Producción de vidrio",1998,"Indirecto","COVDM",0,1128825,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.B - Industria Química","2.B.10 - Otros ",1998,"Indirecto","SO2",1,5,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.D - Uso de productos no energéticos de combustibles y de solventes","2.D.3 - Uso de solventes",1998,"Indirecto","COVDM",6,953863738,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.D - Uso de productos no energéticos de combustibles y de solventes","2.D.4 - Otros (Asfalto)",1998,"Indirecto","COVDM",0,00134008,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1998,"Indirecto","NOx",0,029,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1998,"Indirecto","CO",0,159,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1998,"Indirecto","COVDM",0,0579,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.1 - Industria de la Pulpa y el Papel",1998,"Indirecto","SO2",0,0579,"N/A","N/A",
"2 - Procesos Industriales y Uso de Productos","2.H - Otros ","2.H.2 - Industria de la Alimentación y Bebidas",1998,"Indirecto","COVDM",2,66112,"N/A","N/A",
"3 - Agricultura, Silvicultura y Otros Usos de la Tierra","3.C - Fuentes agregadas y fuentes de emisiones no-CO2 de la tierra","3.C.1 - Emisiones de la quema de biomasa",1998,"Indirecto","NOx",0,2399345,"N/A","N/A",
"3 - Agricultura, Silvicultura y Otros Usos de la Tierra","3.C - Fuentes agregadas y fuentes de emisiones no-CO2 de la tierra","3.C.1 - Emisiones de la quema de biomasa",1998,"Indirecto","CO",5,111275,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1998,"Indirecto","NOx",0,2154,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1998,"Indirecto","CO",64,6342,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1998,"Indirecto","COVDM",1,0234,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Aviación Internacional",1998,"Indirecto","SO2",0,3227,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1998,"Indirecto","NOx",21,7909,"N/A","N/A",
"6 - Partidas informativas","Bunkers internacionales","Navegación internacional",1998,"Indirecto","CO",2,0412,"N/A","N/A",
