id,nombre,operador_norm,web,continente,pais,pais_iso,ciudad,direccion,latitud,longitud,estado,estado_ord,anio_registro,inversion_usd_m,cap_mw,consumo_electrico_mw,consumo_agua_ml_año,agua_indirecta_ml_año,agua_total_ml_año,co2_ton_año,tecnologia_refrigeracion,riesgo_hidrico_cuenca,riesgo_hidrico_cuenca_ord,riesgo_hidrico_pais,riesgo_hidrico_pais_ord,divergencia_pais_cuenca,bws_descripcion,tamaño_categoria,tamaño_porredes
2532,ACT Wheatland,Advanced Communications Technology,http://actaccess.net,América del Norte,Estados Unidos,US,Wheatland,1651 Cole Street,42.045087,-104.963884,operativo,2,2016,,,0.28,4415040,6181056,10596096,1060,mixto,Medium - High (20-40%),3.0,Medium - High (20-40%),3.0,0.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
2535,ACT Riverton,Advanced Communications Technology,http://actaccess.net,América del Norte,Estados Unidos,US,Riverton,115 S. 7th E.,43.023952,-108.3816,operativo,2,2016,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Medium - High (20-40%),3.0,1.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
2536,ACT Gillette,Advanced Communications Technology,http://actaccess.net,América del Norte,Estados Unidos,US,Gillette,845T Southern Drive East,44.246829,-105.504717,operativo,2,2016,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Medium - High (20-40%),3.0,1.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
8721,BlueBridge Networks | Downtown Cleveland,BlueBridge Networks,http://www.bluebridgenetworks.com,América del Norte,Estados Unidos,US,Cleveland,1255 Euclid Avenue Suite 500,41.500806,-81.683699,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
8668,Nasional Online - Jakarta,PT Nasional Online,http://www.nasional.net.id/index.php/produk,Asia-Pacífico,Indonesia,ID,Jakarta,"Gedung Cyber Lt. 11 Jl. Kuningan Barat No. 8, Kuningan Barat-Mampang Prapatan",-6.238649,106.824078,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
9459,PIX Defferrari - Novo Hamburgo,Defferrari Informática Ltda.,https://www.dsi.net.br,América del Sur,Brasil,BR,Novo Hamburgo,"Rua Bento Gonçalves, 2399 - Sala 1003",-29.685272,-51.127764,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low - Medium (10-20%),2.0,Low - Medium (10-20%),2.0,0.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
9484,NetCaster,NetCaster Solutions,http://www.netcaster.com.br,América del Sur,Brasil,BR,São José do Rio Preto,"Rua São Paulo, 155",-20.794776,-49.357403,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
9492,PIT Bolivia,Pit Bolivia Entidad Civil Sin Fines de Lucro,https://www.pitbolivia.org.bo/#,América del Sur,BO,BO,La Paz,Calle 13 Calacoto No. 8142,-16.544947,-68.084857,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
9508,DREAMMARK1 Datacenter,DREAMLINE CO.,http://www.dreammark1.co.kr,Asia-Pacífico,Corea del Sur,KR,Guro-gu,DREAMMARK1,37.485871,126.89153,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Medium - High (20-40%),3.0,1.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
4958,Spectrum Networks George Street Data Center,Spectrum Networks Pty. Ltd,http://www.spectrum.com.au,Australia,Australia,AU,Sydney,350 George Street,-33.866953,151.207421,operativo,2,2018,,,0.28,4415040,6181056,10596096,1060,mixto,Medium - High (20-40%),3.0,High (40-80%),4.0,-1.0,ALTO: entre 40-80% del agua disponible comprometida,,local
2537,ACT Buffalo,Advanced Communications Technology,http://www.range.net,América del Norte,Estados Unidos,US,Buffalo,169 US Highway 16 East,44.354194,-106.696638,operativo,2,2016,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Medium - High (20-40%),3.0,1.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
5439,ServerFarm SC1,Serverfarm,https://www.serverfarmllc.com/data-centers/santa-clara-data-center/,América del Norte,Estados Unidos,US,Santa Clara,5101 Lafayette Street,37.407382,-121.965885,operativo,2,2018,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
5440,Serverfarm TOR1 Toronto,Serverfarm,https://www.serverfarmllc.com/data-centers/toronto-data-center/,América del Norte,Canadá,CA,North York,300 Bartor Rd,43.729334,-79.527035,operativo,2,2018,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
5460,ELITE DIGITAL,rodrigo przybycien,http://www.elitedigital.com.br,América del Sur,Brasil,BR,Curitiba,"R. Agostinho Zaninelli, 487 Boa vista",-25.379879,-49.254358,operativo,2,2018,,,0.28,4415040,6181056,10596096,1060,mixto,Low - Medium (10-20%),2.0,Low - Medium (10-20%),2.0,0.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8751,MARKTEC,MARKTEC TELECOM,http://www.softdados.net,América del Sur,Brasil,BR,Salvador,"Rua José Augusto Tourinho Dantas, 344",-12.932121,-38.327901,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8752,SOFTDADOS,MARKTEC TELECOM,http://www.softdados.net,América del Sur,Brasil,BR,Salvador,"Av. Antonio Carlos Magalhães, 3244,",-12.987891,-38.466741,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Low - Medium (10-20%),2.0,-1.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8676,Scala Data Centers HQ,Scala Data Centers,https://www.uoldiveo.com.br/en/infrastructure/data-center-and-colocation/,América del Sur,Brasil,BR,Barueri,"Alameda Tocantins, 350",-23.502219,-46.851191,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,High (40-80%),4.0,Low - Medium (10-20%),2.0,2.0,MEDIO-BAJO: 10-20% del agua comprometida,,local
8688,Teknotel - Yenibosna,Teknotel Telekom,http://www.teknotel.com,Oriente Medio,Turquía,TR,Istanbul,Cobancesme Mah. Kimiz Sk. No:30 Yenibosna,40.99352,28.827099,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Extremely High (>80%),5.0,High (40-80%),4.0,1.0,ALTO: entre 40-80% del agua disponible comprometida,,local
8717,Teknosos Bilisim Hizmetleri,TEKNOSOS BILISIM HIZMETLERI,https://www.teknosos.com.tr/kategori/veri-merkezi-hizmetleri,Oriente Medio,Turquía,TR,Adana,Dağlıoğlu Mahallesi 14008 Sok. No: 30 Seyhan/Adana,36.975934,35.313241,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Extremely High (>80%),5.0,High (40-80%),4.0,1.0,ALTO: entre 40-80% del agua disponible comprometida,,local
8469,Expedient Boston,Expedient,https://www.expedient.com/data-centers/,América del Norte,Estados Unidos,US,Medford,1 Cabot Road,42.405414,-71.074978,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Medium - High (20-40%),3.0,Medium - High (20-40%),3.0,0.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
8601,TierPoint Sioux Falls - West,"TierPoint, LLC",https://www.tierpoint.com,América del Norte,Estados Unidos,US,Sioux Falls,5300 North La Mesa Drive,43.606059,-96.810208,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Medium - High (20-40%),3.0,Medium - High (20-40%),3.0,0.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
8603,TierPoint Waterbury,"TierPoint, LLC",https://www.tierpoint.com,América del Norte,Estados Unidos,US,Waterbury,108 Bank St,41.554434,-73.04122,operativo,2,2020,,,0.28,4415040,6181056,10596096,1060,mixto,Low (<10%),1.0,Medium - High (20-40%),3.0,-2.0,MEDIO-ALTO: 20-40% del agua comprometida,,local
